appointment_service_id,appointment_id,service_id,quantity,unit_price
1,1,2,1,45.0
2,2,3,1,65.0
3,3,2,1,45.0
4,4,4,1,48.0
5,5,4,1,48.0
6,6,6,1,55.0
7,7,2,1,45.0
8,8,6,1,55.0
9,9,5,1,38.0
10,10,5,1,38.0
11,10,9,1,15.0
12,10,6,1,55.0
13,11,5,1,38.0
14,12,5,1,38.0
15,13,2,1,45.0
16,14,5,1,38.0
17,15,4,1,48.0
18,16,5,1,38.0
19,17,8,1,58.0
20,17,12,1,10.0
21,18,7,1,72.0
22,19,1,1,28.0
23,19,10,1,12.0
24,20,2,1,45.0
25,21,4,1,48.0
26,22,2,1,45.0
27,23,7,1,72.0
28,24,4,1,48.0
29,26,11,1,22.0
30,26,9,1,15.0
31,27,6,1,55.0
32,28,2,1,45.0
33,29,6,1,55.0
34,30,5,1,38.0
35,30,10,1,12.0
36,31,1,1,28.0
37,31,9,1,15.0
38,32,6,1,55.0
39,33,7,1,72.0
40,33,9,1,15.0
41,34,5,1,38.0
42,35,7,1,72.0
43,35,9,1,15.0
44,36,2,1,45.0
45,38,7,1,72.0
46,39,4,1,48.0
47,41,6,1,55.0
48,42,5,1,38.0
49,43,3,1,65.0
50,44,2,1,45.0
51,45,2,1,45.0
52,46,5,1,38.0
53,46,9,1,15.0
54,47,6,1,55.0
55,47,10,1,12.0
56,49,1,1,28.0
57,50,1,1,28.0
58,51,6,1,55.0
59,52,5,1,38.0
60,52,12,1,10.0
61,53,6,1,55.0
62,53,1,1,28.0
63,54,6,1,55.0
64,55,5,1,38.0
65,56,3,1,65.0
66,57,1,1,28.0
67,57,12,1,10.0
68,58,1,1,28.0
69,59,4,1,48.0
70,60,11,1,22.0
71,60,12,1,10.0
72,61,1,1,28.0
73,63,1,1,28.0
74,63,12,1,10.0
75,63,2,1,45.0
76,64,2,1,45.0
77,65,3,1,65.0
78,66,4,1,48.0
79,67,5,1,38.0
80,68,7,1,72.0
81,69,11,1,22.0
82,70,5,1,38.0
83,71,3,1,65.0
84,71,9,1,15.0
85,73,2,1,45.0
86,73,10,1,12.0
87,74,5,1,38.0
88,75,2,1,45.0
89,76,1,1,28.0
90,77,7,1,72.0
91,78,5,1,38.0
92,79,3,1,65.0
93,80,4,1,48.0
94,81,2,1,45.0
95,81,9,1,15.0
96,83,11,1,22.0
97,84,6,1,55.0
98,84,9,1,15.0
99,85,5,1,38.0
100,86,6,1,55.0
101,87,8,1,58.0
102,88,5,1,38.0
103,88,9,1,15.0
104,89,5,1,38.0
105,89,9,1,15.0
106,90,6,1,55.0
107,91,6,1,55.0
108,91,9,1,15.0
109,92,6,1,55.0
110,92,10,1,12.0
111,93,2,1,45.0
112,94,6,1,55.0
113,94,10,1,12.0
114,94,1,1,28.0
115,95,6,1,55.0
116,96,5,1,38.0
117,96,10,1,12.0
118,97,2,1,45.0
119,97,5,1,38.0
120,98,5,1,38.0
121,99,3,1,65.0
122,99,9,1,15.0
123,99,1,1,28.0
124,100,4,1,48.0
125,101,3,1,65.0
126,101,12,1,10.0
127,102,4,1,48.0
128,103,6,1,55.0
129,103,12,1,10.0
130,104,4,1,48.0
131,104,1,1,28.0
132,105,2,1,45.0
133,105,9,1,15.0
134,106,1,1,28.0
135,107,2,1,45.0
136,108,2,1,45.0
137,109,6,1,55.0
138,109,9,1,15.0
139,110,3,1,65.0
140,110,10,1,12.0
141,111,5,1,38.0
142,111,12,1,10.0
143,112,2,1,45.0
144,112,5,1,38.0
145,113,8,1,58.0
146,114,8,1,58.0
147,115,6,1,55.0
148,115,12,1,10.0
149,116,4,1,48.0
150,117,7,1,72.0
151,117,12,1,10.0
152,118,1,1,28.0
153,119,8,1,58.0
154,120,7,1,72.0
155,120,10,1,12.0
156,120,1,1,28.0
157,121,8,1,58.0
158,122,4,1,48.0
159,124,2,1,45.0
160,125,5,1,38.0
161,126,2,1,45.0
162,127,7,1,72.0
163,128,2,1,45.0
164,129,8,1,58.0
165,130,7,1,72.0
166,131,11,1,22.0
167,132,3,1,65.0
168,133,8,1,58.0
169,133,12,1,10.0
170,134,5,1,38.0
171,134,12,1,10.0
172,136,2,1,45.0
173,138,2,1,45.0
174,139,2,1,45.0
175,140,5,1,38.0
176,142,1,1,28.0
177,142,10,1,12.0
178,143,5,1,38.0
179,143,12,1,10.0
180,144,6,1,55.0
181,144,10,1,12.0
