appointment_id,customer_id,employee_id,appointment_datetime,status,booking_source
1,1228,1,2023-08-01 13:00:00,Completed,Appointment
2,345,3,2023-08-01 12:00:00,Completed,Online
3,360,3,2023-08-01 16:45:00,Completed,Appointment
4,200,3,2023-08-01 12:15:00,Completed,Walk-in
5,468,1,2023-08-01 13:45:00,Completed,Walk-in
6,779,1,2023-08-01 14:45:00,Completed,Walk-in
7,1142,2,2023-08-01 11:15:00,Completed,Appointment
8,60,1,2023-08-01 13:00:00,Completed,Phone
9,977,4,2023-08-02 09:45:00,Completed,Appointment
10,1091,1,2023-08-02 11:30:00,Completed,Appointment
11,1086,4,2023-08-02 15:45:00,Completed,Phone
12,167,1,2023-08-02 16:15:00,Completed,Appointment
13,984,1,2023-08-02 12:45:00,Completed,Appointment
14,728,1,2023-08-02 14:45:00,Completed,Appointment
15,915,2,2023-08-02 14:30:00,Completed,Appointment
16,719,2,2023-08-02 12:45:00,Completed,Appointment
17,198,3,2023-08-02 14:45:00,Completed,Appointment
18,882,4,2023-08-03 16:30:00,Completed,Phone
19,191,2,2023-08-03 16:45:00,Completed,Appointment
20,1036,4,2023-08-03 09:00:00,Completed,Appointment
21,691,4,2023-08-03 17:00:00,Completed,Online
22,973,3,2023-08-03 17:00:00,Completed,Appointment
23,625,3,2023-08-03 10:30:00,Completed,Appointment
24,1008,1,2023-08-03 14:00:00,Completed,Phone
25,514,2,2023-08-03 13:30:00,Cancelled,Appointment
26,959,3,2023-08-03 14:00:00,Completed,Appointment
27,716,4,2023-08-04 18:30:00,Completed,Online
28,11,1,2023-08-04 14:15:00,Completed,Appointment
29,800,3,2023-08-04 17:00:00,Completed,Appointment
30,121,2,2023-08-04 14:15:00,Completed,Online
31,776,1,2023-08-04 09:00:00,Completed,Walk-in
32,1128,3,2023-08-04 14:15:00,Completed,Appointment
33,641,1,2023-08-04 16:45:00,Completed,Phone
34,547,2,2023-08-04 14:45:00,Completed,Walk-in
35,199,2,2023-08-04 14:45:00,Completed,Phone
36,1186,2,2023-08-04 18:45:00,Completed,Appointment
37,985,1,2023-08-04 14:00:00,Cancelled,Appointment
38,361,1,2023-08-04 16:00:00,Completed,Appointment
39,432,2,2023-08-04 16:15:00,Completed,Walk-in
40,511,1,2023-08-05 13:00:00,Cancelled,Online
41,915,3,2023-08-05 17:00:00,Completed,Phone
42,945,4,2023-08-05 14:45:00,Completed,Appointment
43,259,4,2023-08-05 16:45:00,Completed,Walk-in
44,658,2,2023-08-05 10:00:00,Completed,Appointment
45,80,4,2023-08-05 11:00:00,Completed,Appointment
46,299,2,2023-08-05 14:00:00,Completed,Appointment
47,25,2,2023-08-05 14:00:00,Completed,Walk-in
48,672,1,2023-08-05 11:45:00,Cancelled,Walk-in
49,54,3,2023-08-05 18:30:00,Completed,Appointment
50,835,4,2023-08-05 16:15:00,Completed,Walk-in
51,171,2,2023-08-05 12:45:00,Completed,Walk-in
52,940,2,2023-08-05 11:30:00,Completed,Walk-in
53,215,2,2023-08-05 15:45:00,Completed,Walk-in
54,154,4,2023-08-05 13:30:00,Completed,Phone
55,28,1,2023-08-05 17:30:00,Completed,Phone
56,611,3,2023-08-07 15:00:00,Completed,Phone
57,248,3,2023-08-07 15:15:00,Completed,Appointment
58,1057,1,2023-08-07 18:30:00,Completed,Online
59,1065,1,2023-08-07 16:45:00,Completed,Walk-in
60,551,1,2023-08-07 11:00:00,Completed,Phone
61,324,1,2023-08-07 12:00:00,Completed,Appointment
62,1204,4,2023-08-07 16:15:00,Cancelled,Phone
63,766,3,2023-08-08 15:00:00,Completed,Appointment
64,775,1,2023-08-08 15:00:00,Completed,Appointment
65,771,2,2023-08-08 14:45:00,Completed,Walk-in
66,19,3,2023-08-08 15:15:00,Completed,Appointment
67,310,3,2023-08-08 10:30:00,Completed,Walk-in
68,748,1,2023-08-08 18:15:00,Completed,Walk-in
69,792,1,2023-08-08 10:15:00,Completed,Walk-in
70,517,1,2023-08-09 13:00:00,Completed,Online
71,1015,3,2023-08-09 13:45:00,Completed,Online
72,249,2,2023-08-09 16:00:00,No-show,Appointment
73,362,1,2023-08-09 12:15:00,Completed,Walk-in
74,1112,1,2023-08-09 11:45:00,Completed,Phone
75,1105,4,2023-08-09 10:15:00,Completed,Appointment
76,63,3,2023-08-10 11:30:00,Completed,Appointment
77,261,1,2023-08-10 14:00:00,Completed,Appointment
78,411,2,2023-08-10 15:45:00,Completed,Walk-in
79,294,1,2023-08-10 13:45:00,Completed,Online
80,645,1,2023-08-10 09:30:00,Completed,Walk-in
81,95,4,2023-08-10 12:00:00,Completed,Online
82,1015,3,2023-08-11 12:15:00,No-show,Phone
83,919,4,2023-08-11 09:30:00,Completed,Appointment
84,18,3,2023-08-11 18:15:00,Completed,Appointment
85,987,1,2023-08-11 11:45:00,Completed,Appointment
86,1186,1,2023-08-11 16:30:00,Completed,Appointment
87,45,1,2023-08-11 18:30:00,Completed,Phone
88,495,2,2023-08-11 11:00:00,Completed,Online
89,36,1,2023-08-11 17:45:00,Completed,Appointment
90,1072,2,2023-08-11 11:00:00,Completed,Appointment
91,879,2,2023-08-11 15:30:00,Completed,Walk-in
92,502,3,2023-08-11 14:45:00,Completed,Walk-in
93,1059,2,2023-08-12 11:45:00,Completed,Online
94,778,1,2023-08-12 17:15:00,Completed,Appointment
95,415,2,2023-08-12 12:00:00,Completed,Appointment
96,325,3,2023-08-12 10:45:00,Completed,Appointment
97,212,1,2023-08-12 10:30:00,Completed,Phone
98,1125,2,2023-08-12 13:00:00,Completed,Phone
99,391,1,2023-08-12 09:45:00,Completed,Online
100,272,4,2023-08-12 16:15:00,Completed,Appointment
101,259,2,2023-08-12 17:00:00,Completed,Appointment
102,353,3,2023-08-12 09:15:00,Completed,Phone
103,1204,2,2023-08-12 18:45:00,Completed,Online
104,428,3,2023-08-14 14:45:00,Completed,Phone
