transaction_id,appointment_id,subtotal,discount,tax,tip,total,payment_method,estimated_service_cost
1,1,45.0,0,3.72,10.98,59.7,Debit Card,8.5
2,2,65.0,5,4.96,16.29,81.25,Cash,14.0
3,3,45.0,0,3.72,13.89,62.61,Cash,8.5
4,4,48.0,10,3.14,3.84,44.98,Credit Card,10.0
5,5,48.0,5,3.55,5.46,52.01,Credit Card,10.0
6,6,55.0,10,3.72,4.82,53.54,Credit Card,11.0
7,7,45.0,5,3.31,6.69,50.0,Credit Card,8.5
8,8,55.0,5,4.13,15.54,69.67,Credit Card,11.0
9,9,38.0,0,3.14,4.6,45.74,Cash,7.5
10,10,108.0,0,8.93,17.24,134.17,Debit Card,21.5
11,11,38.0,0,3.14,3.56,44.7,Credit Card,7.5
12,12,38.0,0,3.14,0.4,41.54,Debit Card,7.5
13,13,45.0,0,3.72,12.5,61.22,Cash,8.5
14,14,38.0,0,3.14,5.82,46.96,Cash,7.5
15,15,48.0,0,3.97,8.8,60.77,Credit Card,10.0
16,16,38.0,0,3.14,8.25,49.39,Credit Card,7.5
17,17,68.0,10,4.79,9.27,72.06,Credit Card,13.5
18,18,72.0,10,5.12,15.1,82.22,Credit Card,15.0
19,19,40.0,0,3.31,9.57,52.88,Credit Card,7.5
20,20,45.0,0,3.72,9.59,58.31,Cash,8.5
21,21,48.0,0,3.97,1.95,53.92,Gift Card,10.0
22,22,45.0,0,3.72,9.93,58.65,Credit Card,8.5
23,23,72.0,0,5.95,15.73,93.68,Credit Card,15.0
24,24,48.0,5,3.55,5.2,51.75,Cash,10.0
25,26,37.0,0,3.06,8.02,48.08,Credit Card,7.0
26,27,55.0,0,4.55,8.83,68.38,Cash,11.0
27,28,45.0,10,2.89,2.86,40.75,Cash,8.5
28,29,55.0,5,4.13,10.31,64.44,Credit Card,11.0
29,30,50.0,5,3.72,9.18,57.9,Credit Card,9.5
30,31,43.0,5,3.14,7.74,48.88,Debit Card,8.5
31,32,55.0,10,3.72,3.4,52.12,Credit Card,11.0
32,33,87.0,0,7.19,20.21,114.4,Credit Card,18.0
33,34,38.0,0,3.14,12.98,54.12,Credit Card,7.5
34,35,87.0,0,7.19,13.57,107.76,Debit Card,18.0
35,36,45.0,0,3.72,11.5,60.22,Debit Card,8.5
36,38,72.0,5,5.54,11.87,84.41,Credit Card,15.0
37,39,48.0,10,3.14,3.57,44.71,Debit Card,10.0
38,41,55.0,5,4.13,17.57,71.7,Debit Card,11.0
39,42,38.0,0,3.14,11.92,53.06,Credit Card,7.5
40,43,65.0,0,5.37,10.35,80.72,Credit Card,14.0
41,44,45.0,0,3.72,10.23,58.95,Debit Card,8.5
42,45,45.0,0,3.72,10.9,59.62,Debit Card,8.5
43,46,53.0,0,4.38,10.49,67.87,Cash,10.5
44,47,67.0,10,4.71,3.27,64.98,Credit Card,13.0
45,49,28.0,0,2.31,5.02,35.33,Credit Card,5.5
46,50,28.0,0,2.31,3.78,34.09,Credit Card,5.5
47,51,55.0,10,3.72,11.91,60.63,Credit Card,11.0
48,52,48.0,0,3.97,8.35,60.32,Credit Card,9.0
49,53,83.0,10,6.03,12.91,91.94,Credit Card,16.5
50,54,55.0,0,4.55,13.89,73.44,Credit Card,11.0
51,55,38.0,0,3.14,5.15,46.29,Gift Card,7.5
52,56,65.0,0,5.37,11.48,81.85,Credit Card,14.0
53,57,38.0,0,3.14,11.58,52.72,Credit Card,7.0
54,58,28.0,0,2.31,0.65,30.96,Debit Card,5.5
55,59,48.0,10,3.14,7.35,48.49,Credit Card,10.0
56,60,32.0,0,2.64,8.95,43.59,Credit Card,5.5
57,61,28.0,0,2.31,6.66,36.97,Credit Card,5.5
58,63,83.0,0,6.86,18.71,108.57,Credit Card,15.5
59,64,45.0,5,3.31,5.1,48.41,Cash,8.5
60,65,65.0,0,5.37,6.41,76.78,Credit Card,14.0
61,66,48.0,5,3.55,7.17,53.72,Credit Card,10.0
62,67,38.0,0,3.14,4.67,45.81,Credit Card,7.5
63,68,72.0,0,5.95,12.39,90.34,Gift Card,15.0
64,69,22.0,0,1.82,0,23.82,Debit Card,4.0
65,70,38.0,0,3.14,7.89,49.03,Cash,7.5
66,71,80.0,0,6.61,18.86,105.47,Credit Card,17.0
67,73,57.0,0,4.71,11.32,73.03,Debit Card,10.5
68,74,38.0,0,3.14,4.94,46.08,Gift Card,7.5
69,75,45.0,0,3.72,0,48.72,Credit Card,8.5
70,76,28.0,0,2.31,11.3,41.61,Cash,5.5
71,77,72.0,5,5.54,3.61,76.15,Credit Card,15.0
72,78,38.0,0,3.14,9.1,50.24,Credit Card,7.5
73,79,65.0,0,5.37,19.89,90.26,Credit Card,14.0
74,80,48.0,0,3.97,12.91,64.88,Credit Card,10.0
75,81,60.0,0,4.96,11.47,76.43,Credit Card,11.5
76,83,22.0,0,1.82,6.94,30.76,Cash,4.0
77,84,70.0,5,5.37,12.01,82.38,Credit Card,14.0
78,85,38.0,0,3.14,0.44,41.58,Credit Card,7.5
79,86,55.0,5,4.13,7.37,61.5,Debit Card,11.0
80,87,58.0,0,4.79,15.5,78.29,Credit Card,12.0
81,88,53.0,5,3.97,11.93,63.9,Debit Card,10.5
82,89,53.0,0,4.38,16.27,73.65,Credit Card,10.5
83,90,55.0,0,4.55,11.76,71.31,Credit Card,11.0
84,91,70.0,0,5.79,14.58,90.37,Credit Card,14.0
85,92,67.0,10,4.71,11.31,73.02,Cash,13.0
86,93,45.0,0,3.72,8.62,57.34,Credit Card,8.5
87,94,95.0,5,7.44,24.27,121.71,Cash,18.5
88,95,55.0,10,3.72,5.98,54.7,Credit Card,11.0
89,96,50.0,0,4.13,10.55,64.68,Cash,9.5
90,97,83.0,0,6.86,12.61,102.47,Debit Card,16.0
91,98,38.0,0,3.14,7.75,48.89,Credit Card,7.5
92,99,108.0,0,8.93,18.08,135.01,Debit Card,22.5
93,100,48.0,10,3.14,9.07,50.21,Credit Card,10.0
94,101,75.0,0,6.2,14.15,95.35,Debit Card,15.5
95,102,48.0,5,3.55,10.48,57.03,Credit Card,10.0
96,103,65.0,10,4.55,6.66,66.21,Debit Card,12.5
97,104,76.0,5,5.87,12.9,89.77,Credit Card,15.5
98,105,60.0,10,4.13,6.94,61.07,Debit Card,11.5
99,106,28.0,0,2.31,7.6,37.91,Credit Card,5.5
100,107,45.0,5,3.31,1.05,44.36,Cash,8.5
101,108,45.0,0,3.72,9.84,58.56,Debit Card,8.5
102,109,70.0,0,5.79,14.35,90.14,Credit Card,14.0
103,110,77.0,5,5.95,12.32,90.27,Cash,16.0
104,111,48.0,0,3.97,1.91,53.88,Credit Card,9.0
105,112,83.0,0,6.86,11.52,101.38,Credit Card,16.0
106,113,58.0,0,4.79,12.78,75.57,Cash,12.0
107,114,58.0,0,4.79,8.61,71.4,Cash,12.0
